"Location","Abbrev","State","Soil","Trials"
"SANTO ANTONIO DE GOIAS","SAG","GO","Latossolo",14
"BREJO","BRE","MA","Neossolo",1
"ITAPECURU MIRIM","ITAP","MA","Argissolo and Others",7
"MATA ROMA","MRO","MA","Argissolo and Others",1
"MATINHA","MATI","MA","Argissolo and Others",1
"SAO MATEUS DO MARANHAO","SMT","MA","Argissolo and Others",5
"SAO RAIMUNDO DAS MANGABEIRAS","SRM","MA","Latossolo",1
"URBANO SANTOS","URBS","MA","Neossolo",1
"CACERES","CAC","MT","Latossolo",7
"SAO JOSE DOS QUATRO MARCOS","SJQM","MT","Argissolo and Others",1
"SINOP","SIN","MT","Latossolo",16
"TANGARA DA SERRA","TAN","MT","Latossolo",6
"ALTAMIRA","ALT","PA","Latossolo",8
"BELEM","BEL","PA","Argissolo and Others",3
"PARAGOMINAS","PGM","PA","Argissolo and Others",5
"SANTAREM","SANT","PA","Neossolo",3
"TERRA ALTA","TALT","PA","Neossolo",1
"URUARA","URUA","PA","Argissolo and Others",1
"TERESINA","TER","PI","Argissolo and Others",7
"OURO PRETO DO OESTE","OPO","RO","Argissolo and Others",2
"PORTO VELHO","PVEL","RO","Argissolo and Others",4
"VILHENA","VIL","RO","Latossolo",6
"PARAISO DO TOCANTINS","PDT","TO","Latossolo",1
"PORTO NACIONAL","PNAC","TO","Latossolo",1
