"Location","LOC","State","n_trials","Ano_Semeadura"
"SANTO ANTONIO DE GOIAS","SAG","GO",14,"2014, 2015, 2016, 2017, 2018, 2020, 2022, 2023"
"BREJO","BRE","MA",1,"2017"
"ITAPECURU MIRIM","ITAP","MA",7,"2017, 2018, 2019, 2020, 2021, 2022"
"MATA ROMA","MRO","MA",1,"2014"
"MATINHA","MATI","MA",1,"2016"
"SAO MATEUS DO MARANHAO","SMT","MA",5,"2017, 2020, 2021, 2022"
"SAO RAIMUNDO DAS MANGABEIRAS","SRM","MA",1,"2014"
"URBANO SANTOS","URBS","MA",1,"2019"
"CACERES","CAC","MT",7,"2015, 2016, 2017, 2019, 2021, 2022, 2023"
"SAO JOSE DOS QUATRO MARCOS","SJQM","MT",1,"2014"
"SINOP","SIN","MT",16,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"
"TANGARA DA SERRA","TAN","MT",6,"2015, 2017, 2019, 2020, 2022, 2023"
"ALTAMIRA","ALT","PA",8,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
"BELEM","BEL","PA",3,"2020, 2021, 2022"
"PARAGOMINAS","PGM","PA",5,"2016, 2019, 2020, 2021, 2022"
"SANTAREM","SANT","PA",3,"2016, 2017, 2019"
"TERRA ALTA","TALT","PA",1,"2016"
"URUARA","URUA","PA",1,"2017"
"TERESINA","TER","PI",7,"2014, 2015, 2016, 2017, 2019, 2021"
"OURO PRETO DO OESTE","OPO","RO",2,"2015, 2016"
"PORTO VELHO","PVEL","RO",4,"2016, 2018, 2020, 2021"
"VILHENA","VIL","RO",6,"2016, 2018, 2019, 2020, 2021"
"PARAISO DO TOCANTINS","PDT","TO",1,"2021"
"PORTO NACIONAL","PNAC","TO",1,"2016"
